name,lat,lon,address,postcode,risk
FOODLAND,43.773964,-79.340169,107 PARKWAY FOREST DR,M2J 1L8,0
FOODY MART,43.815528,-79.322023,355 BAMBURGH CRCL,M1W 3Y1,2
FORTINO'S,43.716935,-79.447434,700 LAWRENCE AVE W,M6A 3B4,2
FRED & THERESA'S  NO FRILLS,43.733536,-79.266946,2430 EGLINTON AVE E,M1K 2P7,0
FREDDIE'S NO FRILLS,43.680763,-79.433783,243 ALBERTA AVE,M6C 3X4,0
FRESH & WILD,43.64551,-79.39489,69 SPADINA AVE,M5V 3P8,2
FRESH BUY MARKET,43.698576,-79.396386,1913 YONGE ST,M4S 1Z3,0
FRESH CO,43.692764,-79.465549,2330 EGLINTON AVE W,M6M 1S6,0
FRESH CO.,43.665859,-79.484521,3400 DUNDAS ST W,M6S 2S1,0
FRESH CO.,43.65991,-79.36617,325 PARLIAMENT ST,M5A 2Z3,0
FRESH CO.,43.643127,-79.42617,22 NORTHCOTE AVE,M6J 3K3,0
FRESH FROM THE FARM,43.693299,-79.342857,350 DONLANDS AVE,M4J 3S1,1
FRESH HARVEST,43.710564,-79.380636,546 EGLINTON AVE W,M5N 1B4,1
FRESH VALUE MARKET,43.716761,-79.55462,2267 ISLINGTON AVE,M9W 3W7,2
FRESH-MART,43.664853,-79.38078,524 CHURCH ST,M4Y 2E1,1
FRESHCO,43.752183,-79.263876,2650 LAWRENCE AVE E,M1P 2S1,1
FRESHCO,43.687547,-79.284187,2490 GERRARD ST E,M1N 1W8,0
FRESHCO,43.756335,-79.517082,3925 JANE ST,M3N 2K1,0
FRESHCO,43.659612,-79.329197,731 EASTERN AVE,M4M 3H6,0
FRESHCO #9783,43.66825,-79.441284,1245 DUPONT ST,M6H 2A6,1
FRESHCO.,43.65917,-79.453064,2440 DUNDAS ST W,M6P 1W9,0
FRESHVILLE FOOD MARKET,43.685095,-79.316476,1912 DANFORTH AVE,M4C 1J4,0
FRIENDLY MAGNOLIA,43.655785,-79.411804,548 COLLEGE ST,M6G 1B1,2
FRIENDS FINE FOODS,43.697729,-79.396058,1881 YONGE ST,M4S 3C4,1
FU YAO SUPERMARKET,43.665802,-79.350297,639-645 GERRARD ST E,M4M 1Y2,2
FU YAO SUPERMARKET,43.725524,-79.253213,8 GREYSTONE WALK DR,M1K 5J2,1
FULLWORTH,43.64082,-79.43554,1371 QUEEN ST W,M6K 1M1,1
Family Marketplace,43.79796,-79.27118,2301 BRIMLEY RD,M1S 5B8,1
Food Basics,43.809229,-79.269315,1571 SANDHURST CRCL,M1V 1V2,1
Fortino's,43.721584,-79.596046,330 QUEENS PLATE DR,M9W 7J7,1
Francois' No Frills,43.804972,-79.222994,51 TAPSCOTT RD,M1B 4Y7,0
Fresh Co.,43.665859,-79.484521,3400 DUNDAS ST W,M6S 2S1,0
Freshco,43.773927,-79.251486,1255 MCCOWAN RD,M1H 3K3,0
Fusion Supermarket,43.801105,-79.199795,1150 MORNINGSIDE AVE,M1B 3A4,2
G'S FINE FOODS,43.667168,-79.40142,351 BLOOR ST W,M5S 1W7,2
GALATI MARKET FRESH,43.798355,-79.369616,5845 LESLIE ST,M2H 1J8,1
GALLERIA SUPERMARKET,43.754311,-79.349585,865 YORK MILLS RD,M3B 1Y6,2
GHADIR MEAT MARKET,43.743219,-79.303576,1821 LAWRENCE AVE E,M1R 2Y3,1
GRACE FOOD MARTS,43.751744,-79.515936,2845 JANE ST,M3N 2J5,0
GRACE MEAT MARKET,43.655132,-79.41586,644 COLLEGE ST,M6G 1B8,2
GREAT FOOD SUPERMARKET,43.718709,-79.300796,1400 VICTORIA PARK AVE,M4A 2L8,1
GREENLAND FARM SUPERMARKET,43.700671,-79.518804,1966 WESTON RD,M9N 1W2,1
GUILDWOOD'S VALU-MART,43.746852,-79.199374,123 GUILDWOOD PKWY,M1E 4V2,1
GUNAAMS SUPERMARKET,43.801253,-79.199179,1145 MORNINGSIDE AVE,M1B 0A7,1
GUSTITOS DE MI TIERRA,43.742082,-79.514389,2708 JANE ST,M3L 1S4,0
Garden Foods,43.653273,-79.467861,1964 BLOOR ST W,M6P 3K9,0
H MART,43.778614,-79.414894,5545 YONGE ST,M2N 5S3,2
H MART,43.773476,-79.413667,5317 YONGE ST,M2N 5R4,0
H-MART,43.773687,-79.413668,5323 YONGE ST,M2N 5R4,2
HARLA ETHIO SPICE MARKET,43.668434,-79.371765,240 WELLESLEY ST E,M4X 1G5,0
HARVEST FRESH FARMS,43.639904,-79.44012,1558 QUEEN ST W,M6R 1A6,1
HASTY MARKET,43.638725,-79.42766,1221 KING ST W,M6K 1G3,2
HENRIQUES SUPERMARKET,43.66276,-79.44246,152 WALLACE AVE,M6H 1V2,0
2LAND FARMS,43.766,-79.283673,850 ELLESMERE RD,M1P 2W5,1
HOMELAND WEST INDIAN SUPERMARKET,43.700989,-79.503619,1642 JANE ST,M9N 2R9,1
HONEST ED'S,43.66486,-79.41234,581 BLOOR ST W,M6G 1K3,0
HONG TAI SUPERMARKET,43.772984,-79.321143,2555 VICTORIA PARK AVE,M1T 1A3,2
HOOKED,43.660514,-79.343348,888 QUEEN ST E,M4M 1J3,1
IMPERIAL FRUIT MARKET,43.678696,-79.440688,1110 ST CLAIR AVE W,M6E 1A7,0
INDEPENDENT CITY MARKET,43.641589,-79.415762,1030 KING ST W,M6K 1E6,2
INDO CANADIAN FOOD EMPIRE,43.661793,-79.42703,922.5 BLOOR ST W,M6H 1L4,1
INTERNATIONAL SUPERMARKET,43.684627,-79.450285,140 ROGERS RD,M6E 1P7,1
IQBAL HALAL FOODS,43.706596,-79.351485,2 THORNCLIFFE PARK DR,M4H 1H2,1
JAFFNA SUPERSTORES,43.778755,-79.231754,1221 MARKHAM RD,M1H 3E2,0
JAMESTOWN MILK,43.66812,-79.36952,592 PARLIAMENT ST,M4X 1P8,0
"JEFF, ROSE AND HERBS NO FRILLS",43.593704,-79.540922,3730 LAKE SHORE BLVD W,M8W 1N6,0
JERRY'S SUPERMARKET,43.682731,-79.327819,1398 DANFORTH AVE,M4J 1M9,1
JIAN HING SUPERMARKET,43.756243,-79.518988,1989 FINCH AVE W,M3N 2V3,0
JIM'S NO FRILLS,43.631877,-79.518493,1020 ISLINGTON AVE,M8Z 6A4,0
JOE'S GROCERY,43.670145,-79.455881,1923 DAVENPORT RD,M6N 1C3,0
JOE'S NO FRILLS,43.656017,-79.435234,900 DUFFERIN ST,M6H 4A9,1
JOHNVINCE FOODS,43.758429,-79.469447,555 STEEPROCK DR,M3J 2Z6,1
JOSEPH'S NO FRILLS,43.769275,-79.187682,4473 KINGSTON RD,M1E 2N7,1
JULIE MANGO'S - INTERNATIONAL FOOD EMPORIUM,43.705471,-79.313474,2644 ST CLAIR AVE E,M4B 3M1,2
KABUL FARMS,43.718609,-79.511921,40 BEVERLY HILLS DR,M3L 1A1,2
KABUL FARMS,43.65743,-79.36518,242 PARLIAMENT ST,M5A 3A4,1
KAI WEI SUPERMARKET,43.651886,-79.397514,253 SPADINA AVE,M5T 2E3,2
KARLOVO EUROPEAN MEATS AND DELI,43.692659,-79.333979,469 COSBURN AVE,M4J 2N6,1
KITCHEN TABLE,43.643486,-79.403854,705 KING ST W,M5V 2W8,1
KOLBO KOSHER FOODS,43.736543,-79.434718,11 RICHELIEU RD,M3H 3A1,0
KOSHER CITY PLUS,43.728454,-79.432191,3468 BATHURST ST,M6A 2C4,1
Kabul Bazar Supermarket,43.751701,-79.261491,2683 LAWRENCE AVE E,M1P 2S2,1
Krishna Grocery,43.766993,-79.228685,820 MARKHAM RD,M1H 2Y2,1
LADY YORK FOODS,43.709585,-79.453035,2939 DUFFERIN ST,M6B 3S7,2
LITTLE BEE SUPERMARKET,43.663164,-79.375197,140 CARLTON ST,M5A 3W7,1
LOBLAW GREAT FOOD,43.64462,-79.55899,380 THE EAST MALL,M9B 6L5,1
LOBLAWS,43.64543,-79.369774,10 0ER JARVIS ST,M5E 1Z2,1
LOBLAWS,43.696681,-79.370814,301 MOORE AVE,M4G 1E1,1
LOBLAWS,43.665443,-79.49587,3671 DUNDAS ST W,M6S 2T3,1
LOBLAWS,43.65443,-79.451805,2280 DUNDAS ST W,M6R 1X3,1
LOBLAWS,43.688509,-79.393197,12 ST CLAIR AVE E,M4T 1L7,1
LOBLAWS,43.768289,-79.412278,5095 YONGE ST,M2N 6Z4,1
LOBLAWS,43.647667,-79.401634,585 QUEEN ST W,M5V 2B7,2
LOBLAWS,43.66207,-79.380036,60 CARLTON ST,M5B 1L1,1
LOBLAWS,43.699982,-79.360163,11 REDWAY RD,M4H 1P6,1
LOBLAWS,43.768619,-79.387295,2877 BAYVIEW AVE,M2K 2S3,1
LOBLAWS,43.67506,-79.358343,720 BROADVIEW AVE,M4K 2P1,1
LOBLAWS,43.662712,-79.519554,270 THE KINGSWAY,M9A 3T7,1
LOBLAWS,43.660909,-79.328999,17 LESLIE ST,M4M 3H9,2
LOBLAWS,43.684084,-79.415308,396 ST CLAIR AVE W,M5P 3N3,1
LOBLAWS,43.687999,-79.288222,50 MUSGRAVE ST,M4E 3W2,2
LOBLAWS GREAT FOODS,43.73569,-79.404491,3501 YONGE ST,M4N 2N5,1
LOBLAWS SUPERMARKET,43.671825,-79.42141,650 DUPONT ST,M6G 4B1,2
LOBLAWS SUPERSTORE (#2809),43.77816,-79.263321,1755 BRIMLEY RD,M1P 0A3,1
LOCONTE FOODS,43.694979,-79.454659,1982 EGLINTON AVE W,M6E 2J9,1
LONE TAI SUPERMARKET,43.750624,-79.276978,2300 LAWRENCE AVE E,M1P 2R2,1
LONG HUI SUPERMARKET,43.749687,-79.549869,2437 FINCH AVE W,M9M 2E7,1
LONGO'S,43.706226,-79.361006,85 LAIRD DR,M4G 3T8,2
LONGO'S,43.654844,-79.38468,111 ELIZABETH ST,M5G 1P7,1
LONGO'S,43.64873,-79.38376,100 KING ST W,M5X 1K7,2
LONGO'S,43.647476,-79.37849,181 BAY ST,M5J 2T3,2
LONGO'S/STARBUCKS/YOGURTY'S,43.643047,-79.38021,15 YORK ST,M5J 0A3,1
LONGOS,43.753641,-79.357854,808 YORK MILLS RD,M3B 1X8,1
LUCKY MOOSE FOOD MART,43.653603,-79.39436,393 DUNDAS ST W,M5T 1G6,2
M & M FRUIT & GROCERIES,43.649338,-79.424446,1263 DUNDAS ST W,M6J 1X6,2
M & S CONVENIENCE,43.758932,-79.315329,2169 VICTORIA PARK AVE,M1R 1V5,1
M & S WEST INDIAN SUPERMARKET,43.746527,-79.231157,28 NELSON ST,M1J 2V3,0
M2M ASIAN GROCERY STORE,43.76356,-79.411165,4885 YONGE ST,M2N 5N4,2
